,Genero,Tipo,Título,Año de estreno,Mes de estreno,ID
454,Drama,Short,D7,2000,9.0,tt0472619
455,Drama,Short,Christmas Eve,2000,6.0,tt0476170
456,Drama,Short,A Once Smiling Woman,2000,,tt0476324
457,Drama,Short,Nocturnal,2000,5.0,tt0477186
458,Drama,Short,The Silence,2000,,tt0476381
459,Drama,Short,It's Not Unusual,2000,8.0,tt0476468
460,Drama,Short,Carcasses,2000,,tt0476167
461,Drama,Short,The Mask Maker,2000,4.0,tt0477452
462,Drama,Short,Mulvey's Hole,2000,8.0,tt0479107
463,Drama,Short,Tanto ten,2000,,tt0479762
464,Drama,Short,The Ice People,2000,,tt0478809
465,Drama,Short,Writing Wrongs,2000,5.0,tt0480607
466,Drama,Short,The Pinston Café,2000,4.0,tt0480838
467,Drama,Short,Disonancias,2000,,tt0479655
468,Drama,Short,Le bel hiver,2000,,tt0480798
469,Drama,Short,Küss mich,2000,8.0,tt0482530
470,Drama,Short,Kissing Buba,2000,,tt0484049
471,Drama,Short,Wilfred,2000,6.0,tt0484163
472,Drama,Short,Wonderland,2000,8.0,tt0484377
473,Drama,Short,Perfect Pale Blue,2000,1.0,tt0485142
474,Drama,Short,Road,2000,7.0,tt0485482
475,Drama,Short,F. 621,2000,,tt0485457
476,Drama,Short,Desy,2000,2.0,tt0487086
477,Drama,Short,Mavis and the Mermaid,2000,,tt0488579
478,Drama,Short,Black & White,2000,,tt0489941
479,Drama,Short,Last Orders,2000,4.0,tt0491024
480,Drama,Short,Daddy's Little Girl,2000,8.0,tt0491757
481,Drama,Short,She Wasn't Mine,2000,12.0,tt0492909
482,Drama,Short,Desire L.A.,2000,,tt0493234
483,Drama,Short,Agha joon,2000,4.0,tt0493103
484,Drama,Short,Infidelity,2000,6.0,tt0495130
