,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
137,Mary Votava,1977,"['The Thirst: Blood War', 'Dead Doornails', 'Spicy Mac Project', 'Under the Gun']","['Actress', 'Additional Crew']",Desconocido,--
138,Gammy Lopez,1991,"['Pisay', 'Maalaala Mo Kaya', 'The Hopeful Romantic', 'Seroks']","['Actor', 'Script and Continuity Department', 'Second Unit Director or Assistant Director']",2 nominations,--
139,Annicka Dolonius,Desconocido,"['Apocalypse Child', 'Pisay', ""What Isn't There"", 'Cattleya Killer']","['Actress', 'Second Unit Director or Assistant Director', 'Script and Continuity Department']",1 win & 4 nominations,--
140,Carl John Barrameda,1993,"['Maalaala Mo Kaya', 'Road to Starkada', 'Alexis: Happy Together', 'Pisay']","['Actor', 'Director', 'Second Unit Director or Assistant Director']",Desconocido,--
141,Elijah Castillo,1995,"['Pepot Artista', 'Pisay', 'Saan nagtatago si happiness?', 'Mayohan']","['Actor', 'Soundtrack']",2 wins & 2 nominations,--
142,Shayne Fajutagana,Desconocido,['Pisay'],['Actress'],Desconocido,--
143,Jonathan Neri,Desconocido,"['Pisay', 'My Cactus Heart', 'MNL 143', 'Bwakaw']",['Actor'],Desconocido,--
144,EJ Jallorina,1993,"['Mamu: And a Mother Too', 'Walang hanggan', 'Pintada', 'Mara Clara']",['Actor'],1 nomination,--
145,Alfred Labatos,1992,"['Maalaala Mo Kaya', 'Pisay', ""I Think I'm in Love"", 'Minsan, minahal kita']",['Actor'],Desconocido,--
146,Arnold Reyes,Desconocido,"['Birdshot', 'Astig', 'Condo', 'The Commitment']","['Actor', 'Soundtrack']",3 wins & 4 nominations,--
147,Breese Pickel,Desconocido,"['Lit Up', 'Movement and Location', 'Run for Your Life']","['Actor', 'Writer', 'Producer']",Desconocido,--
148,Jason Malone,Desconocido,"['Lit Up', 'Run for Your Life', 'Floaters', 'Space Bugs']","['Actor', 'Producer']",Desconocido,--
149,Teresa Budzisz-Krzyzanowska,1942,"['Odjazd', 'Three Colors: White', 'Kuchnia polska', ""Lawa. Opowiesc o 'Dziadach' Adama Mickiewicza""]",['Actress'],1 win,--
150,Leszek Piskorz,1947,"['Television Theater', 'In Darkness', 'Skazane', 'Zwerbowana milosc']","['Actor', 'Additional Crew']",Desconocido,--
151,Agnieszka Wosinska,1968,"['Ratownicy', 'Papiery na szczescie', 'Klan', 'Krew z krwi']",['Actress'],Desconocido,--
152,Witold Debicki,1943,"['Twarza w twarz', 'Paradoks', 'Instynkt', 'Alternatywy 4']",['Actor'],Desconocido,--
153,Grzegorz Damiecki,1967,"[""Schindler's List"", 'Taxing Love', 'Fucking Bornholm', 'Wataha']",['Actor'],1 win & 1 nomination,--
154,Roma Gasiorowska,1981,"['Suicide Room', 'My Name Is Ki', 'Letters to Santa', 'Viola My Love']","['Actress', 'Director', 'Writer']",2 wins & 2 nominations,--
155,Dorota Segda,1966,"['Faustina: The Apostle of Divine Mercy', 'My Twentieth Century', 'Show', 'Taranthriller']",['Actress'],1 win,--
156,Janusz Chabior,1963,"['Made in Poland', 'Character', 'Londynczycy', 'I Am Lying Now']","['Actor', 'Music Department']",1 win,--
157,Michal Czernecki,1978,"['Krew z krwi', 'Television Theater', 'Na dobre i na zle', 'Londynczycy']",['Actor'],Desconocido,--
158,Guillermo Francella,1955,"['The Secret in Their Eyes', 'The Clan', 'Casados con hijos', 'The One in Charge']","['Actor', 'Producer']",14 wins & 15 nominations,--
159,Gisela Van Lacke,1980,"['Sin código', 'Incorregibles', 'Collar de esmeraldas', 'Los exitosos Pérez']",['Actress'],Desconocido,--
160,Jorge Rivera López,1934,"['Stay Tuned for Terror', 'El ABC del amor', 'Of Love and Shadows', 'La Mary']",['Actor'],Desconocido,--
161,Roberto Ibáñez,Desconocido,"['Incorregibles', 'Historias Breves III: Familia Fortone', 'Top Models', 'Bárbara Narváez']","['Actor', 'Writer']",Desconocido,--
162,Marisa Fasano,Desconocido,"['Incorregibles', ""Verano del '98"", 'Los ángeles no lloran', 'Sin condena']",['Actress'],Desconocido,--
163,Martín Pavlovsky,1962,"['Upside Down', 'Cabeza de pescado', 'Moebius', 'Un mundo seguro']","['Actor', 'Composer', 'Soundtrack']",1 win,--
164,Susana Ortiz,Desconocido,"['Rebelde Way', 'El día que me quieras', 'Chiquititas', 'La canción de Buenos Aires']",['Actress'],Desconocido,--
165,Graciela Pal,1947,"['Cabecita rubia', 'Casi ángeles', 'Nano', 'Franco Buenaventura, el profe']",['Actress'],1 nomination,--
166,Claudio Santorelli,Desconocido,"['Durazno Sangrando', 'Suburbios del Alma', 'The Final Phase', 'El Amigo Visible']","['Actor', 'Producer', 'Director']",Desconocido,--
167,Rose McGowan,1973,"['Planet Terror', 'Jawbreaker', 'Grindhouse', 'Charmed']","['Actress', 'Producer', 'Director']",3 wins & 6 nominations,--
168,Freddy Rodríguez,17,"['Planet Terror', 'Poseidon', 'Harsh Times', 'Bobby']","['Actor', 'Producer']",10 wins & 11 nominations total,--
169,Rebel Rodriguez,1999,"['Planet Terror', 'Grindhouse', 'The Adventures of Sharkboy and Lavagirl 3-D', 'Shorts']","['Actor', 'Composer', 'Camera and Electrical Department']",Desconocido,--
170,Bruce Willis,1955,"['Die Hard', 'Pulp Fiction', 'Moonlighting', 'The Sixth Sense']","['Actor', 'Producer', 'Writer']",24 wins & 54 nominations total,--
171,Bobby Haworth,Desconocido,"['Psychic Experiment', 'Easy Life', 'Bobby & Kalob', ""Jack's Apocalypse""]","['Actor', 'Writer', 'Editor']",Desconocido,--
172,Daisy Mae Hargraves,Desconocido,"['Noble Things', 'Over-Due', 'Do You']",['Actress'],Desconocido,--
173,Brian Flora,Desconocido,"['Know How', 'Over-Due', 'About That Life', 'Academic Affairs']",['Actor'],Desconocido,--
174,Daria James,Desconocido,"['Over-Due', 'Outline', 'The Darq']","['Actress', 'Additional Crew']",Desconocido,--
175,Russell Robert Rankin,Desconocido,"['Over-Due', 'Colonia: The Silent Version', 'Under the Rainbow', 'House of Women']","['Director', 'Cinematographer', 'Editor']",Desconocido,--
176,Grace Yang Vitali,Desconocido,"[""COVID-19 Call to Prayer God's Army"", 'The Jewels of the Salton Sea', 'Still the Drums', 'Two de Force']","['Producer', 'Actress', 'Music Department']",10 wins & 1 nomination,--
177,Hillary Lewis,Desconocido,"[""You're in Trouble"", 'Ask a Slave', 'Astrid Clover', 'The Kids Table']",['Actress'],Desconocido,--
178,Nathaniel Kerr,Desconocido,"[""You're in Trouble""]",['Actor'],Desconocido,--
179,Benzy,Desconocido,"['Pale: Quiet Day Off', 'Gallery of Fear', 'Two Front Teeth', 'Horrors of War']","['Actor', 'Special Effects', 'Make-Up Department']",1 win,--
